Rank,Sector,Asset,Avg_Sentiment,Num_Posts,Most_Recent_Post,Least_Recent_Post
1,Materials,Commodities,0.4118935403984904,100,2026-02-05 13:14:17+00:00,2026-01-06 21:56:27+00:00
2,Equities,options,0.3759766532519038,100,2026-02-04 17:58:20+00:00,2026-01-07 02:36:26+00:00
3,Crypto,Cardano,0.37172461402511964,100,2026-02-04 15:24:53+00:00,2026-01-06 22:33:19+00:00
4,Crypto,solana,0.34593049840258233,100,2026-02-04 21:11:31+00:00,2026-01-06 18:34:49+00:00
5,Crypto,ethereum,0.3171011006292393,100,2026-02-04 22:16:46+00:00,2026-01-07 06:00:47+00:00
6,Equities,PLTR,0.3033890371882969,80,2026-02-05 00:53:33+00:00,2026-01-07 08:01:32+00:00
7,Materials,MiningStocks,0.2871524718933844,100,2026-02-04 22:00:08+00:00,2026-01-06 20:41:58+00:00
8,Crypto,Monero,0.2845351797715421,100,2026-02-04 18:09:59+00:00,2026-01-06 21:40:35+00:00
9,Materials,UraniumSqueeze,0.2735003494494636,92,2026-02-04 23:49:47+00:00,2026-01-07 20:05:04+00:00
10,Materials,Copper,0.26953745954023506,60,2026-02-05 00:59:39+00:00,2026-01-07 08:38:56+00:00
11,Equities,ValueInvesting,0.2623344354809127,100,2026-02-04 14:41:31+00:00,2026-01-07 11:10:14+00:00
12,Equities,AMD_Stock,0.2274313986775105,100,2026-02-05 03:34:08+00:00,2026-01-06 21:00:28+00:00
13,Materials,Silverbugs,0.19034556936869493,100,2026-02-05 00:04:55+00:00,2026-01-06 19:01:14+00:00
14,Equities,stocks,0.1858372391431855,100,2026-02-05 01:59:49+00:00,2026-01-07 09:09:00+00:00
15,Crypto,dogecoin,0.1754353696423374,100,2026-02-05 11:43:05+00:00,2026-01-06 21:40:53+00:00
16,Crypto,polkadot,0.16165488333333333,100,2026-02-05 07:04:22+00:00,2026-01-07 07:00:05+00:00
17,Equities,TSLA,0.1373021561771562,2,2026-01-25 18:00:54+00:00,2026-01-20 13:36:28+00:00
18,Equities,Microsoft,0.11146049739865152,69,2026-02-04 23:15:28+00:00,2026-01-07 05:52:16+00:00
19,Equities,NVDA_Stock,0.11133033866815291,100,2026-02-04 21:34:22+00:00,2026-01-06 19:05:14+00:00
20,Materials,Gold,0.10945259021748804,100,2026-02-05 00:16:52+00:00,2026-01-06 18:58:50+00:00
21,Crypto,Bitcoin,0.10823505123469551,100,2026-02-05 01:07:58+00:00,2026-01-06 23:56:48+00:00
22,Equities,WallStreetBets,0.0966006544012279,100,2026-02-04 21:07:02+00:00,2026-01-06 22:07:36+00:00
23,Equities,Apple,0.0957362930347766,100,2026-02-04 21:14:43+00:00,2026-01-07 06:07:02+00:00
24,Materials,oil,0.00695393753126758,100,2026-02-04 16:16:04+00:00,2026-01-06 21:09:20+00:00
