manga_id,tag_slug
474490,0-72mm-gatling-hou
420625,04matsuko
481993,0ero
481992,0ero
481990,0ero
481987,0ero
481980,0ero
481977,0ero
445099,0ero
454123,10-chan
427778,1call4am
445111,1ch
444946,1ch
444945,1ch
453151,36p
453150,36p
445758,3p-threepii
477274,4uu
470170,4uu
469350,4uu
469349,4uu
469344,4uu
469343,4uu
458781,4uu
454623,4uu
453039,4uu
453038,4uu
453037,4uu
439589,5505-project
438820,5505-project
422007,5505-project
414530,5505-project
171325,a-kyokufuri
170694,a-kyokufuri
162849,a-kyokufuri
159948,a-kyokufuri
158401,a-kyokufuri
154810,a-kyokufuri
152980,a-kyokufuri
152919,a-kyokufuri
150068,a-kyokufuri
150033,a-kyokufuri
144528,a-kyokufuri
144461,a-kyokufuri
141921,a-kyokufuri
138220,a-kyokufuri
137382,a-kyokufuri
137083,a-kyokufuri
136056,a-kyokufuri
133967,a-kyokufuri
122462,a-kyokufuri
119083,a-kyokufuri
114734,a-kyokufuri
114294,a-kyokufuri
107683,a-kyokufuri
105530,a-kyokufuri
105052,a-kyokufuri
104611,a-kyokufuri
99185,a-kyokufuri
96577,a-kyokufuri
77053,a-kyokufuri
75668,a-kyokufuri
455021,a-love-ru
363735,a-w-u
450428,aako
450426,aako
452341,abimeo
636960,abortion
625748,abortion
625125,abortion
624185,abortion
619688,abortion
619659,abortion
606998,abortion
598794,abortion
595996,abortion
593027,abortion
583722,abortion
583676,abortion
582913,abortion
582803,abortion
582577,abortion
582541,abortion
576628,abortion
576626,abortion
574222,abortion
566260,abortion
544209,abortion
537343,abortion
534479,abortion
534478,abortion
527994,abortion
527990,abortion
525691,abortion
525026,abortion
524847,abortion
524637,abortion
524381,abortion
503198,abortion
483830,abortion
480696,abortion
479787,abortion
478694,abortion
478358,abortion
470070,abortion
468423,abortion
466726,abortion
456206,abortion
448053,abortion
431886,abortion
412346,abortion
390051,abortion
387990,abortion
353604,abortion
351710,abortion
349247,abortion
349140,abortion
341813,abortion
341482,abortion
339680,abortion
335045,abortion
332173,abortion
327445,abortion
325651,abortion
314880,abortion
310550,abortion
291044,abortion
283744,abortion
283389,abortion
283387,abortion
282030,abortion
281855,abortion
274100,abortion
267898,abortion
264003,abortion
259108,abortion
258906,abortion
257402,abortion
256520,abortion
251350,abortion
229667,abortion
228922,abortion
206896,abortion
201904,abortion
194711,abortion
186439,abortion
178221,abortion
175381,abortion
172640,abortion
168597,abortion
165620,abortion
157474,abortion
147883,abortion
136757,abortion
103422,abortion
100918,abortion
100262,abortion
99118,abortion
85997,abortion
84900,abortion
72732,abortion
59677,abortion
57221,abortion
52223,abortion
23705,abortion
21595,abortion
16349,abortion
643264,absorption
642976,absorption
642755,absorption
642138,absorption
640533,absorption
640287,absorption
639608,absorption
637528,absorption
636154,absorption
634814,absorption
634479,absorption
634292,absorption
634172,absorption
631942,absorption
631097,absorption
631064,absorption
630671,absorption
629829,absorption
629052,absorption
629037,absorption
627578,absorption
626202,absorption
626163,absorption
626035,absorption
624965,absorption
624555,absorption
622728,absorption
618473,absorption
618471,absorption
618470,absorption
618016,absorption
614419,absorption
613882,absorption
609625,absorption
609447,absorption
608373,absorption
608162,absorption
605530,absorption
605529,absorption
604251,absorption
604211,absorption
604126,absorption
602329,absorption
601852,absorption
601840,absorption
601681,absorption
601207,absorption
599768,absorption
599767,absorption
596434,absorption
596146,absorption
595897,absorption
595036,absorption
594408,absorption
594007,absorption
594006,absorption
593724,absorption
593504,absorption
592625,absorption
591834,absorption
590741,absorption
590035,absorption
589017,absorption
588495,absorption
588276,absorption
587292,absorption
587140,absorption
585899,absorption
585530,absorption
585372,absorption
584129,absorption
583935,absorption
583591,absorption
583563,absorption
583439,absorption
583438,absorption
582413,absorption
581897,absorption
580442,absorption
580441,absorption
579709,absorption
578064,absorption
577704,absorption
577381,absorption
576672,absorption
576316,absorption
576260,absorption
576154,absorption
574862,absorption
574825,absorption
574787,absorption
574758,absorption
574373,absorption
573824,absorption
572942,absorption
571972,absorption
570967,absorption
570861,absorption
570740,absorption
570426,absorption
570417,absorption
569665,absorption
569470,absorption
569385,absorption
569118,absorption
569076,absorption
568852,absorption
567457,absorption
567354,absorption
567336,absorption
567210,absorption
563107,absorption
562642,absorption
562639,absorption
561318,absorption
560985,absorption
560796,absorption
560535,absorption
560513,absorption
559319,absorption
559240,absorption
559205,absorption
559169,absorption
559168,absorption
559161,absorption
558895,absorption
558567,absorption
558557,absorption
557240,absorption
556537,absorption
554796,absorption
552753,absorption
550714,absorption
548514,absorption
546294,absorption
546293,absorption
546108,absorption
545266,absorption
544986,absorption
544958,absorption
544571,absorption
544498,absorption
544478,absorption
544095,absorption
543479,absorption
542239,absorption
541812,absorption
541639,absorption
537854,absorption
537429,absorption
537423,absorption
536230,absorption
535708,absorption
535596,absorption
534393,absorption
533423,absorption
532495,absorption
529562,absorption
529469,absorption
529328,absorption
529132,absorption
528703,absorption
527082,absorption
526895,absorption
523496,absorption
522751,absorption
521871,absorption
520311,absorption
519511,absorption
518822,absorption
518809,absorption
514107,absorption
513814,absorption
511544,absorption
509081,absorption
509059,absorption
