item,amount,url
'Ancient gizmos' blueprint,2,https://runescape.wiki/w/Exchange:%27Ancient_gizmos%27_blueprint
'Ancient tools' blueprint,2,https://runescape.wiki/w/Exchange:%27Ancient_tools%27_blueprint
'Diamond' title scroll,2,https://runescape.wiki/w/Exchange:%27Diamond%27_title_scroll
'Dragonstone' title scroll,2,https://runescape.wiki/w/Exchange:%27Dragonstone%27_title_scroll
'Emerald' title scroll,2,https://runescape.wiki/w/Exchange:%27Emerald%27_title_scroll
'Hydrix' title scroll,2,https://runescape.wiki/w/Exchange:%27Hydrix%27_title_scroll
'One of the Many' title scroll,2,https://runescape.wiki/w/Exchange:%27One_of_the_Many%27_title_scroll
'Onyx' title scroll,2,https://runescape.wiki/w/Exchange:%27Onyx%27_title_scroll
'Party' title scroll,2,https://runescape.wiki/w/Exchange:%27Party%27_title_scroll
'Rainbow' title scroll,2,https://runescape.wiki/w/Exchange:%27Rainbow%27_title_scroll
'Ruby' title scroll,2,https://runescape.wiki/w/Exchange:%27Ruby%27_title_scroll
'XP Capacitor' blueprint,2,https://runescape.wiki/w/Exchange:%27XP_Capacitor%27_blueprint
'o'-lantern' title scroll,2,https://runescape.wiki/w/Exchange:%27o%27-lantern%27_title_scroll
1/3 blue blubber jellyfish,10000,https://runescape.wiki/w/Exchange:1/3_blue_blubber_jellyfish
1/3 evil turnip,100,https://runescape.wiki/w/Exchange:1/3_evil_turnip
1/3 green blubber jellyfish,10000,https://runescape.wiki/w/Exchange:1/3_green_blubber_jellyfish
2/3 bacon cheesecake,1000,https://runescape.wiki/w/Exchange:2/3_bacon_cheesecake
2/3 blue blubber jellyfish,10000,https://runescape.wiki/w/Exchange:2/3_blue_blubber_jellyfish
2/3 cake,1000,https://runescape.wiki/w/Exchange:2/3_cake
2/3 cheesecake,1000,https://runescape.wiki/w/Exchange:2/3_cheesecake
2/3 chocolate cake,1000,https://runescape.wiki/w/Exchange:2/3_chocolate_cake
2/3 chocolate cheesecake,1000,https://runescape.wiki/w/Exchange:2/3_chocolate_cheesecake
2/3 evil turnip,100,https://runescape.wiki/w/Exchange:2/3_evil_turnip
2/3 green blubber jellyfish,10000,https://runescape.wiki/w/Exchange:2/3_green_blubber_jellyfish
2/3 lemon cheesecake,1000,https://runescape.wiki/w/Exchange:2/3_lemon_cheesecake
2/3 strawberry cheesecake,1000,https://runescape.wiki/w/Exchange:2/3_strawberry_cheesecake
2/3 vanilla cheesecake,1000,https://runescape.wiki/w/Exchange:2/3_vanilla_cheesecake
4-poster (flatpack),100,https://runescape.wiki/w/Exchange:4-poster_(flatpack)
A mis-fortune from The Mighty Zoltan (1/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(1/17)
A mis-fortune from The Mighty Zoltan (10/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(10/17)
A mis-fortune from The Mighty Zoltan (11/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(11/17)
A mis-fortune from The Mighty Zoltan (12/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(12/17)
A mis-fortune from The Mighty Zoltan (13/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(13/17)
A mis-fortune from The Mighty Zoltan (14/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(14/17)
A mis-fortune from The Mighty Zoltan (15/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(15/17)
A mis-fortune from The Mighty Zoltan (16/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(16/17)
A mis-fortune from The Mighty Zoltan (17/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(17/17)
A mis-fortune from The Mighty Zoltan (2/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(2/17)
A mis-fortune from The Mighty Zoltan (3/17),100,https://runescape.wiki/w/Exchange:A_mis-fortune_from_The_Mighty_Zoltan_(3/17)
