item,amount,url,price,max_spend,item_id,official_ge_url,trade_volume,error
Christmas cracker,2,https://runescape.wiki/w/Exchange:Christmas_cracker,214000000000,428000000000,962,https://secure.runescape.com/m=itemdb_rs/Christmas+cracker/viewitem?obj=962,0,
Masterwork melee armour trim,10000,https://runescape.wiki/w/Exchange:Masterwork_melee_armour_trim,23735611,237356110000,46036,https://secure.runescape.com/m=itemdb_rs/Masterwork+melee+armour+trim/viewitem?obj=46036,74,
Blue partyhat,2,https://runescape.wiki/w/Exchange:Blue_partyhat,91556150320,183112300640,1042,https://secure.runescape.com/m=itemdb_rs/Blue+partyhat/viewitem?obj=1042,2,
White partyhat,2,https://runescape.wiki/w/Exchange:White_partyhat,78288066290,156576132580,1048,https://secure.runescape.com/m=itemdb_rs/White+partyhat/viewitem?obj=1048,1,
Red partyhat,2,https://runescape.wiki/w/Exchange:Red_partyhat,60042219571,120084439142,1038,https://secure.runescape.com/m=itemdb_rs/Red+partyhat/viewitem?obj=1038,2,
Purple partyhat,2,https://runescape.wiki/w/Exchange:Purple_partyhat,51457124499,102914248998,1046,https://secure.runescape.com/m=itemdb_rs/Purple+partyhat/viewitem?obj=1046,0,
Yellow partyhat,2,https://runescape.wiki/w/Exchange:Yellow_partyhat,38653705720,77307411440,1040,https://secure.runescape.com/m=itemdb_rs/Yellow+partyhat/viewitem?obj=1040,1,
Green partyhat,2,https://runescape.wiki/w/Exchange:Green_partyhat,38035347748,76070695496,1044,https://secure.runescape.com/m=itemdb_rs/Green+partyhat/viewitem?obj=1044,4,
Dragon limbs shard,600000,https://runescape.wiki/w/Exchange:Dragon_limbs_shard,107200,64320000000,30127,https://secure.runescape.com/m=itemdb_rs/Dragon+limbs+shard/viewitem?obj=30127,0,
Black Santa hat,2,https://runescape.wiki/w/Exchange:Black_Santa_hat,26313469924,52626939848,30412,https://secure.runescape.com/m=itemdb_rs/Black+Santa+hat/viewitem?obj=30412,1,
Shadowstep aura override token,100,https://runescape.wiki/w/Exchange:Shadowstep_aura_override_token,521426076,52142607600,59740,https://secure.runescape.com/m=itemdb_rs/Shadowstep+aura+override+token/viewitem?obj=59740,0,
Smokestep aura override token,100,https://runescape.wiki/w/Exchange:Smokestep_aura_override_token,438702113,43870211300,59741,https://secure.runescape.com/m=itemdb_rs/Smokestep+aura+override+token/viewitem?obj=59741,3,
Volatile runic brick,10000,https://runescape.wiki/w/Exchange:Volatile_runic_brick,4013602,40136020000,58472,https://secure.runescape.com/m=itemdb_rs/Volatile+runic+brick/viewitem?obj=58472,8,
Immaculate alloy bar,10000,https://runescape.wiki/w/Exchange:Immaculate_alloy_bar,3779249,37792490000,45988,https://secure.runescape.com/m=itemdb_rs/Immaculate+alloy+bar/viewitem?obj=45988,282,
Half full wine jug,2,https://runescape.wiki/w/Exchange:Half_full_wine_jug,16600000000,33200000000,1989,https://secure.runescape.com/m=itemdb_rs/Half+full+wine+jug/viewitem?obj=1989,3,
Large crate (classic components),1000,https://runescape.wiki/w/Exchange:Large_crate_(classic_components),32515245,32515245000,50165,https://secure.runescape.com/m=itemdb_rs/Large+crate+%28classic+components%29/viewitem?obj=50165,63,
Elite Dracolich hauberk,100,https://runescape.wiki/w/Exchange:Elite_Dracolich_hauberk,322460077,32246007700,56114,https://secure.runescape.com/m=itemdb_rs/Elite+Dracolich+hauberk/viewitem?obj=56114,42,
Elite Dracolich chaps,100,https://runescape.wiki/w/Exchange:Elite_Dracolich_chaps,295731227,29573122700,56132,https://secure.runescape.com/m=itemdb_rs/Elite+Dracolich+chaps/viewitem?obj=56132,33,
Binding essence,100,https://runescape.wiki/w/Exchange:Binding_essence,260685733,26068573300,58465,https://secure.runescape.com/m=itemdb_rs/Binding+essence/viewitem?obj=58465,6,
